state,avg_enrolment_growth
ANDAMAN & NICOBAR ISLANDS,0.14722222222222223
ANDAMAN AND NICOBAR ISLANDS,1.1703643578643579
ANDHRA PRADESH,1.7201512740327152
ARUNACHAL PRADESH,0.40384591258703484
ASSAM,6.1445448382340695
BIHAR,1.0929062495782573
CHANDIGARH,0.18497163930418042
CHHATTISGARH,0.8251638547907418
DADRA & NAGAR HAVELI,0.0
DADRA AND NAGAR HAVELI,0.49355662234674785
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,0.7148459383753502
DAMAN & DIU,0.3333333333333333
DAMAN AND DIU,0.3726190476190476
DELHI,0.8174661295203228
GOA,1.7096587787267663
GUJARAT,2.29295328446268
HARYANA,1.9101075782620234
HIMACHAL PRADESH,1.2858596936818232
JAMMU & KASHMIR,0.3888888888888889
JAMMU AND KASHMIR,2.6159391353950316
JHARKHAND,0.9061539495006182
KARNATAKA,11.581313872837185
KERALA,17.397318365602292
LADAKH,0.3690118215118215
LAKSHADWEEP,0.999624060150376
MADHYA PRADESH,0.9164479589536503
MAHARASHTRA,1.3882056052558087
MANIPUR,0.32243984787557567
MEGHALAYA,5.972282491387672
MIZORAM,1.4737326115093619
NAGALAND,3.6509371488345037
ODISHA,1.839665035766932
ORISSA,0.9008508886817921
PONDICHERRY,0.8358467245712533
PUDUCHERRY,1.7934912456120797
PUNJAB,5.494547551930323
RAJASTHAN,1.7343963459133978
SIKKIM,0.9183586605067926
TAMIL NADU,1.8030258897366525
TELANGANA,1.8607693961520368
TRIPURA,1.3175971991212327
UTTAR PRADESH,1.048095233378688
UTTARAKHAND,1.0586469721161071
WEST  BENGAL,0.0
WEST BANGAL,
WEST BENGAL,1.7281037511883182
WESTBENGAL,0.0
