state,avg_enrolment,avg_biometric,avg_demographic,avg_bio_to_enrol
ANDAMAN & NICOBAR ISLANDS,2.3076923076923075,24.53846153846154,16.615384615384617,15.007692307692308
ANDAMAN AND NICOBAR ISLANDS,6.809523809523809,108.9047619047619,55.38095238095238,22.9302824159967
ANDHRA PRADESH,1613.3846153846155,46812.0,22409.46153846154,87.71133379756344
ARUNACHAL PRADESH,67.08695652173913,466.4347826086956,454.17391304347825,8.927449568821132
ASSAM,5179.964285714285,18984.25,9223.107142857143,26.340801691543867
BIHAR,9465.851851851852,90657.96296296296,49228.18518518518,7.914619875850248
CHANDIGARH,37.083333333333336,540.125,906.25,10.814602089354985
CHHATTISGARH,1418.9642857142858,57164.32142857143,32725.714285714286,39.004541839591944
DADRA & NAGAR HAVELI,1.0,4.888888888888889,3.2222222222222223,4.888888888888889
DADRA AND NAGAR HAVELI,11.75,150.85,68.05,16.618132676276254
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,3.0555555555555554,7.444444444444445,41.05555555555556,4.288359788359788
DAMAN & DIU,1.25,8.5,9.5,7.125
DAMAN AND DIU,2.1333333333333333,34.86666666666667,16.6,23.745555555555555
DELHI,1994.1785714285713,31625.464285714286,31401.214285714286,18.593806576621866
GOA,30.458333333333332,343.2916666666667,344.4583333333333,32.431313596748055
GUJARAT,5967.821428571428,75629.92857142857,23382.85714285714,83.03124341760804
HARYANA,1560.357142857143,35892.46428571428,22438.321428571428,18.93587361241762
HIMACHAL PRADESH,204.56,3882.08,1414.44,29.098243366069525
JAMMU & KASHMIR,2.25,4.9375,5.75,2.890625
JAMMU AND KASHMIR,507.962962962963,12920.74074074074,5367.888888888889,68.40842636345434
JHARKHAND,2072.16,23162.8,10736.08,10.36882826395106
KARNATAKA,3479.285714285714,58350.607142857145,21730.85714285714,191.51332998843867
KERALA,859.9166666666666,6415.416666666667,6814.541666666667,42.10297885524643
LADAKH,8.571428571428571,16.571428571428573,28.857142857142858,2.679943865658151
LAKSHADWEEP,3.35,16.2,13.1,7.770476190476191
MADHYA PRADESH,8309.17857142857,144364.89285714287,48526.03571428572,11.28453862574531
MAHARASHTRA,6155.892857142857,189896.39285714287,58791.96428571428,83.35635717041454
MANIPUR,146.30434782608697,2280.695652173913,4575.391304347826,19.1544806738397
MEGHALAYA,360.2083333333333,398.0416666666667,720.6666666666666,7.066302179454385
MIZORAM,121.39285714285714,1891.6785714285713,400.0357142857143,13.231564037570894
NAGALAND,91.08333333333333,477.7083333333333,309.875,16.525173276099345
ODISHA,1668.92,23814.64,8714.8,40.59956305051364
ORISSA,54.416666666666664,403.7916666666667,351.125,11.758316491765257
PONDICHERRY,24.5,270.1818181818182,88.68181818181819,12.211990081701073
PUDUCHERRY,27.652173913043477,328.9130434782609,225.2608695652174,15.727874383813184
PUNJAB,1424.357142857143,38202.75,13082.82142857143,50.53049768546209
RAJASTHAN,5527.357142857143,86216.75,27310.39285714286,14.783393583457778
SIKKIM,26.391304347826086,108.34782608695652,269.9130434782609,5.747948578861992
TAMIL NADU,2666.9285714285716,94882.10714285714,20485.464285714286,234.91063733307922
TELANGANA,1926.857142857143,35490.28571428572,20035.535714285714,73.49638622541099
TRIPURA,148.5,1145.4166666666667,1203.9583333333333,38.001745382455056
UTTAR PRADESH,19877.64285714286,203864.85714285713,89318.85714285714,8.727506358611056
UTTARAKHAND,516.6785714285714,13204.25,6738.0,24.90580857452835
WEST  BENGAL,1.0,1.0,2.0,1.0
WEST BANGAL,1.0,2.0,3.0,2.0
WEST BENGAL,5883.214285714285,57313.07142857143,53346.07142857143,14.227665221441072
WESTBENGAL,1.0,2.0,2.0,2.0
